ISO3Code,Age,Pop2020,Sex
SYR,25,1496483,Both
TJK,25,814719,Both
THA,25,4822404,Both
TGO,25,631528,Both
TON,25,7442,Both
TTO,25,97306,Both
ARE,25,1433590,Both
TUN,25,904059,Both
TUR,25,6404144,Both
TKM,25,548254,Both
UGA,25,3544494,Both
UKR,25,2752444,Both
MKD,25,152689,Both
EGY,25,8094535,Both
GBR,25,4484067,Both
TZA,25,4583694,Both
USA,25,23835330,Both
BFA,25,1588171,Both
URY,25,257495,Both
UZB,25,3164651,Both
VEN,25,2028711,Both
WSM,25,14723,Both
YEM,25,2807500,Both
ZMB,25,1433444,Both
AFG,30,2478259,Both
ALB,30,223924,Both
DZA,30,3727719,Both
AGO,30,2040757,Both
ATG,30,7066,Both
AZE,30,941226,Both
ARG,30,3318980,Both
AUS,30,1875461,Both
AUT,30,620374,Both
BHS,30,28015,Both
BHR,30,293461,Both
BGD,30,13763089,Both
ARM,30,267191,Both
